Property,Block,Pest/Predatory,Date(m/d/y),% LI,No days b/n samples
Cobram,BLOCK 2,Bryobya Mite,10/1/2014,0,0
,,,10/2/2014,2,7
,,,10/3/2014,2,7
,,,10/4/2014,2,9
,,,10/5/2014,21,7
,,,10/6/2014,4,7
,,,10/7/2014,6,7
,,,10/8/2014,6,14
,,,10/9/2014,6,7
,,,10/10/2014,8,7
,,,10/11/2014,8,7
,,,10/12/2014,6,14
,,,10/13/2014,16,7
,,,10/14/2014,8,7
,,Twospotted Mite,10/1/2014,0,0
,,,10/2/2014,0,7
,,,10/3/2014,2,7
,,,10/4/2014,4,7
,,,10/5/2014,0,7
,,,10/6/2014,0,7
,,,10/7/2014,0,7
,,,10/8/2014,0,7
,,,10/9/2014,10,28
,,,10/10/2014,12,7
,,,10/11/2014,26,7
,,,10/12/2014,28,7
,,,10/13/2014,12,7
,,European Red Mite,10/1/2014,0,0
,,,10/2/2014,2,7
,,,10/3/2014,2,7
,,,10/4/2014,2,9
,,,10/5/2014,21,7
,,,10/6/2014,4,7
,,,10/7/2014,6,7
,,,10/8/2014,6,14
,,,10/9/2014,6,7
,,,10/10/2014,8,7
,,,10/11/2014,8,7
,,,10/12/2014,6,14
,,,10/13/2014,16,7
