Property,Block,Pest/Predatory,Date(m/d/y),% LI,No days b/n samples
Drouin,Block 2,Bryobya Mite,12/6/2013,0,0
,,,12/13/2013,2,7
,,,12/20/2013,2,7
,,,12/29/2013,2,9
,,,1/3/2013,21,7
,,,1/10/2014,4,7
,,,1/17/2014,6,7
,,,1/31/2014,6,14
,,,2/7/2014,6,7
,,,2/14/2014,8,7
,,,2/28/2014,8,7
,,,3/14/2014,6,14
,,,3/21/2014,16,7
,,,3/28/2014,8,7
,,Typhlodromus,12/6/2013,0,0
,,,12/13/2013,10,7
,,,12/20/2013,12,7
,,,12/29/2013,22,9
,,,1/3/2013,15,7
,,,1/10/2014,16,7
,,,1/17/2014,18,7
,,,1/31/2014,16,14
,,,2/7/2014,16,7
,,,2/14/2014,8,7
,,,2/28/2014,20,7
,,,3/14/2014,12,14
,,,3/21/2014,16,7
,,,3/28/2014,28,7
,Block 6 Granny Smith,Twospotted Mite,1/28/2014,0,0
,,,1/31/2014,10,3
,,,2/7/2014,4,7
,,,2/14/2014,8,7
,,,2/28/2014,6,14
,,,3/14/2014,4,14
,,,3/21/2014,10,7
,,,3/28/2014,0,7
,,Typhlo,1/28/2014,0,0
,,,1/31/2014,16,3
,,,2/7/2014,6,7
,,,2/14/2014,14,7
,,,2/28/2014,20,14
,,,3/14/2014,12,14
,,,3/21/2014,10,7
,,,3/28/2014,52,7
Atlanta,Hill Block,Bryobya,12/12/2013,0,0
,,,12/19/2013,10,7
,,,12/28/2013,14,9
,,,1/2/2014,8,5
,,,1/9/2014,4,7
,,,1/16/2014,8,7
,,,1/23/2014,8,7
,,,1/30/2014,6,7
,,,2/6/2014,8,7
,,,2/13/2014,6,7
,,,2/20/2014,4,7
,,,2/27/2014,10,7
,,,3/6/2014,12,7
,,,3/13/2014,16,7
,,,3/20/2014,12,7
,,,4/4/2014,10,14
,,Typhlo,12/12/2013,0,0
,,,12/19/2013,14,7
,,,12/28/2013,10,9
,,,1/2/2014,30,5
,,,1/9/2014,18,7
,,,1/16/2014,16,7
,,,1/23/2014,10,7
,,,1/30/2014,4,7
,,,2/6/2014,6,7
,,,2/13/2014,0,7
,,,2/20/2014,4,7
,,,2/27/2014,6,7
,,,3/6/2014,10,7
,,,3/13/2014,8,7
,,,3/20/2014,6,7
,,,4/4/2014,4,14
